Formatted Date,Precip Type,Temperature (C),Apparent Temperature (C),Wind Speed (km/h),Daily Summary
1,rain,9.472222222,7.388888889,14.1197,Partly cloudy throughout the day.
2,rain,9.355555556,7.227777778,14.2646,Partly cloudy throughout the day.
3,rain,9.377777778,9.377777778,3.9284,Partly cloudy throughout the day.
4,rain,8.288888889,5.944444444,14.1036,Partly cloudy throughout the day.
5,rain,8.755555556,6.977777778,11.0446,Partly cloudy throughout the day.
6,rain,9.222222222,7.111111111,13.9587,Partly cloudy throughout the day.
7,rain,7.733333333,5.522222222,12.3648,Partly cloudy throughout the day.
8,rain,8.772222222,6.527777778,14.1519,Partly cloudy throughout the day.
9,rain,10.82222222,10.82222222,11.3183,Partly cloudy throughout the day.
10,rain,13.77222222,13.77222222,12.5258,Partly cloudy throughout the day.
11,rain,16.01666667,16.01666667,17.5651,Partly cloudy throughout the day.
12,rain,17.14444444,17.14444444,19.7869,Partly cloudy throughout the day.
13,rain,17.8,17.8,21.9443,Partly cloudy throughout the day.
14,rain,17.33333333,17.33333333,20.6885,Partly cloudy throughout the day.
15,rain,18.87777778,18.87777778,15.3755,Partly cloudy throughout the day.
16,rain,18.91111111,18.91111111,10.4006,Partly cloudy throughout the day.
17,rain,15.38888889,15.38888889,14.4095,Partly cloudy throughout the day.
18,rain,15.55,15.55,11.1573,Partly cloudy throughout the day.
19,rain,14.25555556,14.25555556,8.5169,Partly cloudy throughout the day.
20,rain,13.14444444,13.14444444,7.6314,Partly cloudy throughout the day.
21,rain,11.55,11.55,7.3899,Partly cloudy throughout the day.
22,rain,11.18333333,11.18333333,4.9266,Partly cloudy throughout the day.
23,rain,10.11666667,10.11666667,6.6493,Partly cloudy throughout the day.
24,rain,10.2,10.2,3.9284,Partly cloudy throughout the day.
25,rain,10.42222222,10.42222222,16.9855,Mostly cloudy throughout the day.
26,rain,9.911111111,7.566666667,17.2109,Mostly cloudy throughout the day.
27,rain,11.18333333,11.18333333,10.8192,Mostly cloudy throughout the day.
28,rain,7.155555556,5.044444444,11.0768,Mostly cloudy throughout the day.
29,rain,6.111111111,4.816666667,6.6493,Mostly cloudy throughout the day.
30,rain,6.788888889,4.272222222,13.0088,Mostly cloudy throughout the day.
31,rain,7.261111111,5.155555556,11.1734,Mostly cloudy throughout the day.
1,rain,7.8,5.527777778,12.8156,Mostly cloudy throughout the day.
2,rain,9.872222222,7.933333333,13.7494,Mostly cloudy throughout the day.
3,rain,12.22222222,12.22222222,15.6331,Mostly cloudy throughout the day.
4,rain,15.09444444,15.09444444,17.549,Mostly cloudy throughout the day.
5,rain,17.35555556,17.35555556,22.7815,Mostly cloudy throughout the day.
6,rain,19.00555556,19.00555556,23.8924,Mostly cloudy throughout the day.
7,rain,20.04444444,20.04444444,28.3682,Mostly cloudy throughout the day.
8,rain,21.05,21.05,26.9031,Mostly cloudy throughout the day.
9,rain,21.18333333,21.18333333,25.6956,Mostly cloudy throughout the day.
10,rain,20.11666667,20.11666667,25.3092,Mostly cloudy throughout the day.
11,rain,20.21666667,20.21666667,18.1125,Mostly cloudy throughout the day.
12,rain,20,20,23.4255,Mostly cloudy throughout the day.
13,rain,17.8,17.8,20.0445,Mostly cloudy throughout the day.
14,rain,16.06111111,16.06111111,21.3969,Mostly cloudy throughout the day.
15,rain,15.02222222,15.02222222,21.3808,Mostly cloudy throughout the day.
16,rain,14.42222222,14.42222222,20.0123,Mostly cloudy throughout the day.
17,rain,14.25555556,14.25555556,16.5025,Mostly cloudy throughout the day.
18,rain,13.77222222,13.77222222,17.0982,Foggy in the evening.
19,rain,13.28333333,13.28333333,14.3612,Foggy in the evening.
